lambda_l2,learning_rate,max_depth,min_data_in_leaf,num_leaves,num_boost_round,ra_features_medio,ra_features_std,ra_labels_medio,ra_labels_std
0.0,0.1,-1,1,5,50,0.62,0.012981468272831049,0.7000000000000001,0.043204937989385725
0.0,0.1,8,1,5,50,0.62,0.012981468272831049,0.7000000000000001,0.043204937989385725
0.1,0.1,8,1,5,50,0.6177777777777778,0.004779069592801484,0.6466666666666667,0.06182412330330466
0.1,0.1,-1,1,5,50,0.6177777777777778,0.004779069592801484,0.6466666666666667,0.06182412330330466
0.1,0.1,-1,5,5,50,0.61,0.011626916409142414,0.6533333333333333,0.018856180831641284
0.1,0.1,8,5,5,50,0.61,0.011626916409142414,0.6533333333333333,0.018856180831641284
0.0,0.1,8,5,5,50,0.6088888888888889,0.0283278861866265,0.6466666666666666,0.0524933858267454
0.0,0.1,-1,5,5,50,0.6088888888888889,0.0283278861866265,0.6466666666666666,0.0524933858267454
0.0,0.1,8,1,3,50,0.5855555555555555,0.036826252042614575,0.7066666666666667,0.0410960933531265
0.0,0.1,-1,1,3,50,0.5788888888888889,0.028032168470095264,0.6866666666666665,0.018856180831641232
0.1,0.1,8,1,3,50,0.5677777777777777,0.04114863152698048,0.7133333333333334,0.04714045207910316
0.1,0.1,-1,1,3,50,0.5677777777777777,0.04114863152698048,0.7133333333333334,0.04714045207910316
0.0,0.1,8,5,3,50,0.5655555555555556,0.01827431578155393,0.6533333333333333,0.009428090415820642
0.0,0.1,-1,5,3,50,0.5655555555555556,0.01827431578155393,0.6533333333333333,0.009428090415820642
0.1,0.1,-1,5,3,50,0.5466666666666666,0.0228926641978184,0.6733333333333333,0.009428090415820642
0.1,0.1,8,5,3,50,0.5466666666666666,0.0228926641978184,0.6733333333333333,0.009428090415820642
0.1,0.1,8,5,5,10,0.48666666666666664,0.05192587309132409,0.6533333333333334,0.07363574011458171
0.1,0.1,-1,5,5,10,0.48666666666666664,0.05192587309132409,0.6533333333333334,0.07363574011458171
0.0,0.1,-1,5,5,10,0.48666666666666664,0.056829830455752905,0.64,0.04898979485566356
0.0,0.1,8,5,5,10,0.48666666666666664,0.056829830455752905,0.64,0.04898979485566356
0.1,0.1,-1,1,5,10,0.47222222222222227,0.03499559055116361,0.6533333333333333,0.009428090415820642
0.1,0.1,8,1,5,10,0.47222222222222227,0.03499559055116361,0.6533333333333333,0.009428090415820642
0.0,0.1,8,1,5,10,0.4655555555555555,0.037548322774923995,0.68,0.016329931618554488
0.0,0.1,-1,1,5,10,0.4655555555555555,0.037548322774923995,0.68,0.016329931618554488
0.0,0.1,-1,1,3,10,0.43611111111111117,0.02615244954653299,0.7066666666666667,0.04109609335312651
0.0,0.1,8,1,3,10,0.43500000000000005,0.025962936545662105,0.6733333333333333,0.06599663291074445
0.1,0.1,8,1,3,10,0.4344444444444444,0.029260431293919312,0.6666666666666666,0.024944382578492918
0.1,0.1,-1,1,3,10,0.4344444444444444,0.029260431293919312,0.6666666666666666,0.024944382578492918
0.1,0.1,-1,5,3,10,0.43333333333333335,0.026069707125889005,0.6733333333333332,0.03771236166328251
0.1,0.1,8,5,3,10,0.43333333333333335,0.026069707125889005,0.6733333333333332,0.03771236166328251
0.0,0.1,8,5,3,10,0.4288888888888889,0.025543475405717036,0.6466666666666666,0.082192186706253
0.0,0.1,-1,5,3,10,0.4288888888888889,0.025543475405717036,0.6466666666666666,0.082192186706253
